slab,mol,nset,xtheta,ytheta,ztheta,0
slab3,molB,nset17,33.036469577151536,-135.96602197345806,146.79720391235116,430634.065451917
slab3,molB,nset18,-76.46723781818558,-75.04680347159062,12.451472762454415,430633.83223853
slab3,molB,nset19,-108.92366414463476,-63.87139861662692,65.86604922643477,430633.930188596
slab3,molB,nset20,-23.18577620213634,-151.13995368333616,151.56140067910837,430634.067479822
slab3,molB,nset21,-128.3939966796757,4.35237167838892,-145.90390437355282,430633.444447399
slab3,molB,nset22,-43.205501839120984,-127.47356610583901,112.50856232546471,430634.00565613
slab3,molB,nset23,105.99246856037206,62.338885432472324,52.122405772561876,430633.881966584
slab3,molB,nset24,123.47399242010283,66.77253152054072,125.62871775169009,430633.659308631
slab3,molB,nset25,-138.25440149671226,-144.69469140950343,107.24412128282887,430633.74684447
slab3,molB,nset26,88.55090353342797,-56.62745569953806,-108.2497723478614,430633.915655462
slab3,molB,nset27,119.85637388857037,155.68134160014455,-21.145317880785598,430633.449413332
slab3,molB,nset28,125.70013893675218,23.181801576426665,146.0417064438313,430633.790836564
slab3,molB,nset29,-93.52451724015769,-35.482083268472365,-130.45591649085088,430633.731274122
slab3,molB,nset30,-72.82691847120849,-80.46276575218153,-10.49667289810094,430633.831902832
slab3,molB,nset31,-54.88949417255931,98.45483916436285,-169.97443685725057,430633.657613385
slab3,molB,nset32,81.7406546871025,2.125664923506264,-152.31096063814172,430633.853691731
slab3,molB,nset33,40.46727338329555,173.4122264936222,79.48841947581218,430633.347517116
slab3,molB,nset34,-23.008381314870803,-49.31819779780727,134.88959517720986,430633.886121226
slab3,molB,nset35,-97.4561110423895,-126.46635243962785,-123.17519281106982,430633.887228426
slab3,molB,nset36,-116.27634127190589,-30.81566887532884,2.361343206752906,430633.740614244
slab3,molB,nset37,146.05893638568608,25.621757682221556,80.73673627716067,430634.067839736
slab3,molB,nset38,-42.367712103630595,-62.54424902968874,-174.23001400911846,430633.819057334
slab3,molB,nset39,78.14179274418848,136.03726628734012,83.66511893708986,430633.658455776
slab3,molB,nset40,-97.73154199635805,107.91847216645368,-163.6531002068655,430633.649711069
slab3,molB,nset41,-15.602070169898383,-164.34208010151625,147.5599213336423,430633.992795744
slab3,molB,nset42,32.17504093175117,16.256220996991203,7.4221304658612155,430634.184277632
slab3,molB,nset43,103.77327742905902,-40.345355554962765,-49.57157475513918,430633.417763541
slab3,molB,nset44,123.46538726132917,-39.312451231660276,-120.53477544411935,430633.918089333
slab3,molB,nset45,67.85177059411811,90.86985096148811,-120.02891006411271,430633.756957492
slab3,molB,nset46,150.47669908787066,-143.94782345282528,91.5930158659724,430633.741469251
slab3,molB,nset47,-86.06270188146057,-87.4730042952834,-164.51934001428162,430633.657308188
slab3,molB,nset48,9.650525070633194,-104.75123990349694,-105.18560756510159,430633.732209084
slab3,molB,nset49,147.57731678157154,-169.60267592280758,33.79299812609017,430634.032230009
slab3,molB,nset50,21.258024642170483,-35.05192136635921,52.47943619367095,430633.651286894
slab3,molB,nset51,-167.13742290073358,-122.90175616692844,-130.40996317643334,430633.638794827
slab3,molB,nset52,56.63028059041656,-106.20615859948887,-84.01277415073922,430633.914184585
slab3,molB,nset53,134.2261325225595,-151.94243615559287,26.49873643015019,430633.659268458
slab3,molB,nset54,-13.92889703824585,118.41749982693005,129.20226375172507,430633.912618593
slab3,molB,nset55,94.02685684504115,109.87436091096811,108.52497014043848,430633.970885381
slab3,molB,nset56,7.932180117769775,103.62608283653333,103.06434658117206,430633.731805063
slab3,molB,nset57,158.83405058792073,-17.16986601249596,-159.29617775268406,430634.021295397
slab3,molB,nset58,-10.745621003593072,-83.67184790269847,-155.9507348516397,430633.65677537
slab3,molB,nset59,154.50343439438456,-47.580640115923984,137.50325330812439,430633.327123926
slab3,molB,nset60,-73.65509646887125,-179.84419605168222,99.89001755570752,430633.438162868
slab3,molB,nset61,-7.088085065705798,100.61528999288748,-49.66923854363455,430633.734829698
slab3,molB,nset62,-96.70191566108724,-120.26076724841995,-46.0391614359427,430633.903265028
slab3,molB,nset63,89.89096700366645,-57.71407432647506,-105.09910444153782,430633.755755116
slab3,molB,nset64,142.44910046795837,93.62472942007793,-151.78042342348897,430633.732106071
slab3,molB,nset65,-146.34223063583104,-145.9749010400642,59.71477275290158,430633.568634325
slab3,molB,nset66,21.976304248326613,-44.00148896499567,-2.4638160529936215,430633.744496664
slab3,molB,nset67,-83.05911658563515,129.52623312133392,-97.86568505028035,430633.877178663
slab3,molB,nset68,-155.23920419388514,59.100634286517305,26.709129685909772,430633.915332428
slab3,molB,nset69,-159.983801840387,59.70673371729282,-128.2811400548518,430633.971092121
slab3,molB,nset70,-12.013258924613126,-61.666809181295875,-162.03198790193036,430633.820023482
slab3,molB,nset71,-97.39350962944744,-115.24832255763813,-27.765831235656094,430633.901762294
slab3,molB,nset72,-124.12213506772417,-176.31416382535886,171.79707386410905,430633.449213895
slab3,molB,nset73,161.33670191043177,-156.32865474536516,87.89842491456636,430634.13612206
slab3,molB,nset74,-92.58973418989206,168.4658975711505,68.42013035582326,430633.483473684
slab3,molB,nset75,-66.77437532772062,57.11968953880907,-95.11061400879152,430633.74932781
slab3,molB,nset76,36.19569490234551,37.7518373429688,-83.0642205902581,430633.658906099
slab3,molB,nset77,60.140528731280114,151.2084241211769,-33.175416448849205,430633.448945456
slab3,molB,nset78,-107.08706554142759,-65.4846076014581,157.2913025881681,430634.047723645
slab3,molB,nset79,-9.447907139466196,-177.09378006441784,-102.20379266249073,430633.777666814
slab3,molB,nset80,94.2356482629911,-150.37993961718206,83.44456618356384,430633.732346316
slab3,molB,nset81,143.40772815332673,151.0091709912457,125.62721922009916,430633.360044309
slab3,molB,nset82,-93.78905773710682,144.25413356133248,-160.30059056704894,430633.831175152
slab3,molB,nset83,9.794920832252274,-178.86826397386545,93.00988275430058,430633.347716626
slab3,molB,nset84,166.89197395839443,144.03934211583197,27.6719136461098,430633.651674436
slab3,molB,nset85,-27.12161679266427,-145.64506404182208,142.86311175037912,430634.068279655
slab3,molB,nset86,-92.72709525699025,98.60706022365866,179.78835915247834,430633.658002411
slab3,molB,nset87,-82.20308929931547,-102.04323647780578,43.526476595480005,430633.914905006
slab3,molB,nset88,77.24327016893403,-112.35634421519296,166.93313677887556,430633.740838252
slab3,molB,nset89,86.50195018744387,173.95631875459105,-65.86129884444372,430633.19064097
slab3,molB,nset90,1.0546564301052115,-147.12551657307253,0.8123801455138278,430634.020712756
slab3,molB,nset91,-67.21796492046916,83.00609742786156,115.15599270461786,430633.755082778
slab3,molB,nset92,145.8730966459185,-6.9987657231588685,-103.80307053872848,430633.441104731
slab3,molB,nset93,52.500610615616125,15.990926224593892,143.55817605878195,430633.738468502
slab3,molB,nset94,107.06656558632784,77.76618055121236,161.71870372502593,430633.831674798
slab3,molB,nset95,121.4882824920171,175.17662204394594,44.68340538602604,430633.463010621
slab3,molB,nset96,134.9697299971604,89.72501034495883,110.22084661809424,430633.734451881
slab3,molB,nset97,-162.11687892550685,-58.937710251252824,47.44645055670651,430633.971052737
slab3,molB,nset98,119.51042853850623,-107.06693954120033,-152.92907629761666,430633.894409566
slab3,molB,nset99,165.14461957884208,97.37204968767685,-123.00278449954226,430633.731218306
slab3,molB,nset100,-171.6670213625305,-166.1777625520392,-145.54835664811284,430633.463204188
slab3,molC,nset1,108.07071335855096,73.78058559418443,-57.6622283144454,416275.646564433
slab3,molC,nset2,178.65629459576616,-150.1939715326655,16.2124375667471,416275.810337294
slab3,molC,nset3,112.84280408841119,111.18823157972776,-42.0260236387133,416275.7075203
slab3,molC,nset4,-61.930609546993324,-116.0274114377093,-61.19096034435766,416275.548583897
slab3,molC,nset5,-164.41739622476058,-173.05590059067214,-29.917104741391398,416275.793253901
slab3,molC,nset6,-3.8615627745764414,23.033028628780926,-8.608470008288634,416275.736470307
slab3,molC,nset7,144.81675614976183,99.71152794316566,26.744309094290514,416275.590740593
slab3,molC,nset8,-70.43072397022718,-136.81373180692356,97.81304011112331,416275.902011353
slab3,molC,nset9,165.4125812058645,-54.73527750354884,159.58861166351693,416275.693525101
slab3,molC,nset10,-78.29433283316108,-130.46594897569997,-131.75150813871437,416275.699357129
slab3,molC,nset11,96.05207625292957,-151.58197151710684,88.55752216546756,416275.833111173
slab3,molC,nset12,132.0056318635185,-60.55251009955796,33.418464508713754,416275.700698458
slab3,molC,nset13,-115.19207766128278,114.67048208688578,156.4625879738046,416275.928037112
slab3,molC,nset14,111.24704280809073,43.5264600850052,-177.43064745569765,416275.589860952
slab3,molC,nset15,110.94626273721502,-103.14447283948462,87.6609649455753,416275.931050918
slab3,molC,nset16,62.65658636870435,67.23290179226666,61.36727507837156,416275.717155433
slab3,molC,nset17,125.34110182436018,-177.96736519583507,41.851036796711554,416275.960694273
slab3,molC,nset18,-179.2269245898738,89.49153322692348,-41.223875605538325,416275.67403687
slab3,molC,nset19,-129.75043642701667,40.82093330564405,-33.346018718680824,416275.815955021
slab3,molC,nset20,105.38226884307107,-107.06208323198153,-57.942665840677094,416275.827659731
slab3,molC,nset21,130.50510060319772,166.58488897672413,36.74414568495618,416276.030269154
slab3,molC,nset22,109.43085901902128,-36.11293492146157,71.10020344552214,416276.132516735
slab3,molC,nset23,152.03643160896064,146.94418080566788,-73.70089473350298,416275.914106172
slab3,molC,nset24,70.93139186649171,114.82615877230967,5.909194215984968,416275.896035577
slab3,molC,nset25,49.9102516558813,154.23174166148237,2.2295761731415666,416275.899245918
slab3,molC,nset26,133.87100520430113,90.69959711994511,-87.1608318452814,416275.674937112
slab3,molC,nset27,-168.517270073729,-149.6984346795827,-19.839446562347177,416275.794027491
slab3,molC,nset28,-39.96003544786737,-108.29428492487556,1.1753344310702687,416275.489095851
slab3,molC,nset29,27.5531124446984,-72.0728705579302,-106.96898843901701,416275.778589552
slab3,molC,nset30,90.53540721857627,51.13193866855579,-53.72990272324466,416275.589494175
slab3,molC,nset31,141.40410370336588,-88.77727316635033,7.321470159581821,416275.379999833
slab3,molC,nset32,99.74815746896013,113.49046203014177,-164.93653600039895,416275.673958608
slab3,molC,nset33,-75.46705324616659,79.18204518350507,-44.64576021452916,416275.623366962
slab3,molC,nset34,-138.15289390554904,-10.468531539595205,-72.98286290648869,416275.477561233
slab3,molC,nset35,-121.78158792459969,122.34166276515026,-123.8225864316183,416275.717346966
slab3,molC,nset36,-165.14552151133617,-141.3401028906813,-179.84906786949966,416275.916346923
slab3,molC,nset37,-42.8206433730019,-61.2947460636108,-26.946059552358236,416275.778202042
slab3,molC,nset38,-64.30712862322353,-91.05196309385603,17.291907548887735,416275.778367704
slab3,molC,nset39,-44.324436659751285,2.360631331389726,-132.09188771965663,416275.961487301
slab3,molC,nset40,-132.0355207116689,23.493286369542744,-85.03619853917507,416275.479792448
slab3,molC,nset41,176.28899717535137,158.6668274645013,-154.19968067519835,416275.62136063
slab3,molC,nset42,-172.63654818112997,168.17582984129098,148.10707403115617,416275.738126544
slab3,molC,nset43,163.76599265959447,115.85344427379323,-170.31389835177637,416275.622401566
slab3,molC,nset44,-108.62470287674536,-73.45873383254043,-11.456635868140523,416275.527250848
