,Pd_3pz
-76.5278,0.0
-76.5178,0.0
-76.5078,0.0
-76.4978,0.0
-76.4878,0.0
-76.4778,0.0
-76.4678,0.0
-76.45779999999999,0.0
-76.4478,0.0
-76.4378,0.0
-76.42779999999999,0.0
-76.4178,0.0
-76.4078,0.0
-76.39779999999999,0.0
-76.3878,0.0
-76.3778,0.0
-76.3678,0.0
-76.3578,0.0
-76.34779999999999,0.0
-76.3378,0.0
-76.3278,0.0
-76.31779999999999,0.0
-76.3078,0.0
-76.2978,0.0
-76.28779999999999,0.0
-76.2778,0.0
-76.2678,0.0
-76.2578,0.0
-76.2478,0.0
-76.2378,0.0
-76.2278,0.0
-76.2178,0.0
-76.20779999999999,0.0
-76.1978,0.0
-76.1878,0.0
-76.17779999999999,0.0
-76.1678,0.0
-76.1578,0.0
-76.14779999999999,0.0
-76.1378,0.0
-76.1278,0.0
-76.1178,0.0
-76.1078,0.0
-76.09779999999999,0.0
-76.0878,0.0
-76.0778,0.0
-76.06779999999999,0.0
-76.0578,0.0
-76.0478,0.0
-76.03779999999999,0.0
-76.0278,0.0
-76.0178,0.0
-76.0078,0.0
-75.9978,0.0
-75.9878,0.0
-75.9778,0.0
-75.9678,0.0
-75.95779999999999,0.0
-75.9478,0.0
-75.9378,0.0
-75.92779999999999,0.0
-75.9178,0.0
-75.9078,0.0
-75.89779999999999,0.0
-75.8878,0.0
-75.8778,0.0
-75.8678,0.0
-75.8578,0.0
-75.84779999999999,0.0
-75.8378,0.0
-75.8278,0.0
-75.81779999999999,0.0
-75.8078,0.0
-75.7978,0.0
-75.78779999999999,0.0
-75.7778,0.0
-75.7678,0.0
-75.7578,0.0
-75.7478,0.0
-75.7378,0.0
-75.7278,0.0
-75.7178,0.0
-75.70779999999999,0.0
-75.6978,0.0
-75.6878,0.0
-75.67779999999999,0.0
-75.6678,0.0
-75.6578,0.0
-75.64779999999999,0.0
-75.6378,0.0
-75.6278,0.0
-75.6178,0.0
-75.6078,0.0
-75.59779999999999,0.0
-75.5878,0.0
-75.5778,0.0
-75.56779999999999,0.0
-75.5578,0.0
-75.5478,0.0
-75.53779999999999,0.0
-75.5278,0.0
-75.5178,0.0
-75.5078,0.0
-75.4978,0.0
-75.4878,0.0
-75.4778,0.0
-75.4678,0.0
-75.45779999999999,0.0
-75.4478,0.0
-75.4378,0.0
-75.42779999999999,0.0
-75.4178,0.0
-75.4078,0.0
-75.39779999999999,0.0
-75.3878,0.0
-75.3778,0.0
-75.3678,0.0
-75.3578,0.0
-75.34779999999999,0.0
-75.3378,0.0
-75.3278,0.0
-75.31779999999999,0.0
-75.3078,0.0
-75.2978,0.0
-75.28779999999999,0.0
-75.2778,0.0
-75.2678,0.0
-75.2578,0.0
-75.2478,0.0
-75.2378,0.0
-75.2278,0.0
-75.2178,0.0
-75.20779999999999,0.0
-75.1978,0.0
-75.1878,0.0
-75.17779999999999,0.0
-75.1678,0.0
-75.1578,0.0
-75.14779999999999,0.0
-75.1378,0.0
-75.1278,0.0
-75.1178,0.0
-75.1078,0.0
